分水口分水情况				
1号	2号	3号	4号	5号
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
14.3	0	5	0	5
